abaisser,to lower
compter,to count & to intend
élire,to elect
inscrire,to write down
plaire,to please
rire,to laugh
abasourdir,to daze & to bewilder
concevoir,to conceive
éloigner,to move away
insister,to insist
plaisanter,to joke
rompre,to break
abattre,to knock down
conclure,to conclude
embrasser,to kiss & embrace
instruire,to instruct
planter,to plant & to crash (computer)
rougir,to redden & to blush
abolir,to abolish
concourir,to compete
emmener,to take
interdire,to forbid
pleurer,to cry
rouler,to roll & to drive (a car)
absoudre,to absolve
conduire,to drive
émoudre,to sharpen
intéresser,to interest
pleuvoir,to rain
rouvrir,to reopen
abstenir (s'),to abstain
confire,to preserve
emparer,to impare
interroger,to interrogate
plier,to fold & to bend
saillir,to protrude
accepter,to accept
confondre,to confuse
empêcher,to prevent
interrompre,to interrupt
plonger,to dive
saisir,to seize
acclamer,to cheer & to acclaim
conjoindre,to unite
employer,to employ & to use
intervenir,to intervene
poindre,to dawn
salir,to soil
accompagner,to accompany
connaître,to know
empreindre,to imprint
interroger,to question
pondre,to lay (an egg)
satisfaire,to satisfy
accorder,to admit
conquérir,to conquer
emprunter,to borrow
introduire,to introduce
porter,to wear & to carry
sauter,to jump
accourir,to hurry
conseiller,to recommend
enclore,to enclose
inventer,to invent
poser,to put
sauver,to save & to rescue
accrocher,to hang (up)
consentir,to consent
encourager,to encourage
inviter,to invite
posséder,to possess
savoir,to know
accueillir,to welcome
considérer,to consider
encourir,to incur
jaillir,to spurt out
poursuivre,to pursue
secouer,to shake
accuser,to accuse
consommer,to consume
endormir,to fall asleep
jaser,to chatter
pousser,to push
secourir,to help
acheter,to buy
construire,to construct
enduire,to coat
jaunir,to turn yellow
pouvoir,to be able
séduire,to seduce
achever,to achieve
contenir,to contain & to fit
enfreindre,to infringe
jeter,to throw
prédire,to predict
séjourner,to sojourn, to stay somewhere (temporarily)
acquérir,to acquire
conter,to recount
enfuir (s'),to run away
joindre,to join
préférer,to prefer
sembler,to seem
adjoindre,to appoint
continuer,to continue
engager,to bind
jouer,to play
prendre,to take
sentir,to feel & to smell
admettre,to admit
contraindre,to compel
enjoindre,to enjoin
jouir,to enjoy
préparer, to prepare
séparer,to separate
admirer,to admire
contredire,to contradict
enlever,to remove
juger,to judge
prescrire,to subscribe
serrer,to grasp & to squeeze
adorer,to adore
contrevenir,to contravene
ennuyer,to bore & to annoy
jurer,to swear & to vow
présenter,to introduce
servir,to serve
adresser,to address
contrôler,to control
énoncer,to state
kidnapper,to kidnap
pressentir,to have a premonition
siffler,to whistle
advenir,to happen
convaincre,to convince
enquérir (s'),to inquire
klaxonner,to honk
presser,to squeeze
signaler,to signal
affaiblir,to weaken
convenir,to convene
enregistrer,to record
lâcher,to loosen
prétendre,to claim
signer,to sign
agacer,to annoy
correspondre,to correspond
enseigner,to teach
laisser,to leave
prêter,to loan
signifier,to mean
agir,to act
corriger,to correct
ensuivre (s'),to ensue
lancer,to throw
prévaloir (se),to pride oneself on
skier,to ski
aider,to help
corrompre,to corrupt
entendre,to hear
laver,to wash
prévenir,to prevent
songer,to dream
aimer,to like & to love
coucher,to put to bed
enterrer,to bury
lever,to lift & to stand
prévoir,to foresee
sonner,to ring
ajouter,to add
coudre,to sew
entraîner,to involve & to pull
lire,to read
prier,to pray
sortir,to go out
aller,to go
couper,to cut
entreprendre,to undertake
loger,to lodge
produire,to produce
souffler,to blow & to breathe out & to pant
aménager,to fit
courir,to run
entrer,to enter
louer,to rent
projeter,to project
souffrir,to suffer
amener,to take
coûter,to cost
entretenir,to look after
luire,to shine
promener,to walk
souhaiter,to wish
amuser,to amuse
couvrir,to cover
